Recorder name,Language,Reference no,Study region,Area name,Kingdom,Taxonomic resolution,Taxonomic unit,Taxonomic unit_revised,Ecosystem,Information source,Gradient,Position,Measurement type,Start period,End period,N years,Number of censuses,Magnitude of shift,Unit of shift,Azimuth of shift,Shift tested,Shift significant,Data cleaning,Modelling conducted,Other effects,Shift source,Notes
Sakiyama,EN,E0009,Korea Strait,Korea Strait,Animal,Species-level,Engraulis japonicus,Engraulis japonicus,marine,Commercial fisheries data,Latitude,Unknown,Abundance,1984,2010,26,312,-0.018058879,degree/year,NA,yes,Yes,No,No,No,estimated,"While the study focuses on the Korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of Japan. Range shift was estimated by extracting data from the plots. The measurement of fish data was biomass. The latitude represents biomass-weighted monthly mean latitudes."
Sakiyama,EN,E0009,Korea Strait,Korea Strait,Animal,Species-level,Scomber japonicus,Scomber japonicus,marine,Commercial fisheries data,Latitude,Unknown,Abundance,1984,2010,26,312,-0.005094747,degree/year,NA,yes,No,No,No,No,estimated,"While the study focuses on the Korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of Japan. Range shift was estimated by extracting data from the plots. The measurement of fish data was biomass. The latitude represents biomass-weighted monthly mean latitudes."
Sakiyama,EN,E0009,Korea Strait,Korea Strait,Animal,Species-level,Trachurus japonicus,Trachurus japonicus,marine,Commercial fisheries data,Latitude,Unknown,Abundance,1987,2010,23,276,-0.005860603,degree/year,NA,yes,Yes,No,No,No,estimated,"While the study focuses on the Korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of Japan. Range shift was estimated by extracting data from the plots. The measurement of fish data was biomass. The latitude represents biomass-weighted monthly mean latitudes."
Sakiyama,EN,E0009,Korea Strait,Korea Strait,Animal,Species-level,Clupea pallasii,Clupea pallasii,marine,Commercial fisheries data,Latitude,Unknown,Abundance,1999,2010,11,132,-0.06323302,degree/year,NA,yes,Yes,No,No,No,estimated,"While the study focuses on the Korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of Japan. Range shift was estimated by extracting data from the plots. The measurement of fish data was biomass. The latitude represents biomass-weighted monthly mean latitudes."
Sakiyama,EN,E0009,Korea Strait,Korea Strait,Animal,Species-level,Sardinops sagax,Sardinops sagax,marine,Commercial fisheries data,Latitude,Unknown,Abundance,1984,2010,26,312,-0.032191907,degree/year,NA,yes,Yes,No,No,No,estimated,"While the study focuses on the Korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of Japan. Range shift was estimated by extracting data from the plots. The measurement of fish data was biomass. The latitude represents biomass-weighted monthly mean latitudes."
Sakiyama,EN,E0009,Korea Strait,Korea Strait,Animal,Species-level,Todarodes pacificus,Todarodes pacificus ,marine,Commercial fisheries data,Latitude,Unknown,Abundance,1984,2010,26,312,-0.005920393,degree/year,NA,yes,No,No,No,No,estimated,"While the study focuses on the Korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of Japan. Range shift was estimated by extracting data from the plots. The measurement of fish data was biomass. The latitude represents biomass-weighted monthly mean latitudes."
Sakiyama,EN,E0009,Korea Strait,Korea Strait,Animal,Species-level,Scomberomorus niphonius,Scomberomorus niphonius,marine,Commercial fisheries data,Latitude,Unknown,Abundance,1984,2010,26,312,0.054821733,degree/year,NA,yes,Yes,No,No,No,estimated,"While the study focuses on the Korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of Japan. Range shift was estimated by extracting data from the plots. The measurement of fish data was biomass. The latitude represents biomass-weighted monthly mean latitudes."
Sakiyama,EN,E0009,Korea Strait,Korea Strait,Animal,Species-level,Seriola quinqueradiata,Seriola quinqueradiata,marine,Commercial fisheries data,Latitude,Unknown,Abundance,1984,2010,26,312,0.007938662,degree/year,NA,yes,No,No,No,No,estimated,"While the study focuses on the Korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of Japan. Range shift was estimated by extracting data from the plots. The measurement of fish data was biomass. The latitude represents biomass-weighted monthly mean latitudes."
Sakiyama,EN,E0009,Korea Strait,Korea Strait,Animal,Species-level,Trichiurus lepturus,Trichiurus lepturus,marine,Commercial fisheries data,Latitude,Unknown,Abundance,1987,2010,23,276,0.034303946,degree/year,NA,yes,Yes,No,No,No,estimated,"While the study focuses on the Korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of Japan. Range shift was estimated by extracting data from the plots. The measurement of fish data was biomass. The latitude represents biomass-weighted monthly mean latitudes."
Sakiyama,EN,E0009,Korea Strait,Korea Strait,Animal,Species-level,Larimichthys polyactis,Larimichthys polyactis,marine,Commercial fisheries data,Latitude,Unknown,Abundance,1987,2010,23,276,0.041672358,degree/year,NA,yes,Yes,No,No,No,estimated,"While the study focuses on the Korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of Japan. Range shift was estimated by extracting data from the plots. The measurement of fish data was biomass. The latitude represents biomass-weighted monthly mean latitudes."
