include,geographic_scale,study_area,specific_area,taxonomic_resolution,taxonomic_unit_revised,kingdom,phylum,class,order,family,genus,ecosystem,realm,information_source,gradient,position,measurement_type,observation,startperiod_orig,startperiod_startyear,startperiod_endyear,startperiod_midyear,endperiod_orig,endperiod_startyear,endperiod_endyear,endperiod_midyear,n_years,n_years_midyear,number_of_censuses,magnitude_of_shift,unit_of_shift,azimuth_of_shift,shift_tested,shift_significant,data_cleaning,modelling_conducted,other_effects,shift_source,language,reference_no,publication_id,doi,authors,article_title,publication_year,source_title,data_section,notes,lat_mean,comment,edit_info,recorder_name
1,sub_japan,Tohoku,Pacific coast,species,Sardinops sagax,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Sardinops,marine,marine,scientific survey,horizontal,centroid,abundance_cpue,abundance,2005,2005,2005,2005,2020,2020,2020,2020,16,15,257,118.25621435067856,km/year,255.47625917534504,NA,NA,NA,NA,NA,NA,en,E2241,Higashiguchi et al. 2025,10.2139/ssrn.5167358,"K Higashiguchi, S Nishijima, Y Kamimura…",Species-Specific Temporal Shifts in Distribution Patterns of Japanese Sardine and Japanese Anchovy in the Western North Pacific in Relation to the Pacific Decadal Oscillation,2025,SSRN,Fig. 4,NA,NA,magnitude and azimuth of the horizontal shift estimated by combining latitude and longitude shift observations,NA,NA
1,sub_japan,Tohoku,Pacific coast,species,Engraulis japonicus,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,marine,marine,scientific survey,horizontal,centroid,abundance_cpue,abundance,2005,2005,2005,2005,2020,2020,2020,2020,16,15,285,3.0274992161674907,km/year,240.3722428334836,NA,NA,NA,NA,NA,NA,en,E2241,Higashiguchi et al. 2025,10.2139/ssrn.5167358,"K Higashiguchi, S Nishijima, Y Kamimura…",Species-Specific Temporal Shifts in Distribution Patterns of Japanese Sardine and Japanese Anchovy in the Western North Pacific in Relation to the Pacific Decadal Oscillation,2025,SSRN,Fig. 4,NA,NA,magnitude and azimuth of the horizontal shift estimated by combining latitude and longitude shift observations,NA,NA
1,sub_japan,Tohoku,Pacific coast,species,Sardinops sagax,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Sardinops,marine,marine,scientific survey,latitude,centroid,abundance_cpue,abundance,2005,2005,2005,2005,2020,2020,2020,2020,16,15,257,-29.65642823561478,km/year,NA,no,na,no,yes,pacific decadal oscillation,estimated,en,E2241,Higashiguchi et al. 2025,10.2139/ssrn.5167358,"K Higashiguchi, S Nishijima, Y Kamimura…",Species-Specific Temporal Shifts in Distribution Patterns of Japanese Sardine and Japanese Anchovy in the Western North Pacific in Relation to the Pacific Decadal Oscillation,2025,SSRN,Fig. 4,the shift change was estimated from fig. 4 using webplotdigitzer (https://automeris.io/wpd/?v=5_2),NA,na,"changed the gradient column from latitude/longitude to latitude after contacting sueyoshi-san. changed ""number of censuses"" column from 632 to 257 as the study presented the effort per species.",Sueyoshi
1,sub_japan,Tohoku,Pacific coast,species,Engraulis japonicus,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,marine,marine,scientific survey,latitude,centroid,abundance_cpue,abundance,2005,2005,2005,2005,2020,2020,2020,2020,16,15,285,-1.4966837126357606,km/year,NA,no,na,no,yes,pacific decadal oscillation,estimated,en,E2241,Higashiguchi et al. 2025,10.2139/ssrn.5167358,"K Higashiguchi, S Nishijima, Y Kamimura…",Species-Specific Temporal Shifts in Distribution Patterns of Japanese Sardine and Japanese Anchovy in the Western North Pacific in Relation to the Pacific Decadal Oscillation,2025,SSRN,Fig. 4,the shift change was estimated from fig. 4 using webplotdigitzer (https://automeris.io/wpd/?v=5_2),NA,na,"changed ""number of censuses"" column from 632 to 285 as the study presented the effort per species.",Sueyoshi
1,sub_japan,Tohoku,Pacific coast,species,Sardinops sagax,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Sardinops,marine,marine,scientific survey,longitude,centroid,abundance_cpue,abundance,2005,2005,2005,2005,2020,2020,2020,2020,16,15,257,-114.47719640548272,km/year,NA,no,na,no,yes,pacific decadal oscillation,estimated,en,E2241,Higashiguchi et al. 2025,10.2139/ssrn.5167358,"K Higashiguchi, S Nishijima, Y Kamimura…",Species-Specific Temporal Shifts in Distribution Patterns of Japanese Sardine and Japanese Anchovy in the Western North Pacific in Relation to the Pacific Decadal Oscillation,2025,SSRN,Fig. 4,the shift change was estimated from fig. 4 using webplotdigitzer (https://automeris.io/wpd/?v=5_2),42,na,"changed ""number of censuses"" column from 632 to 257 as the study presented the effort per species.",Sueyoshi
1,sub_japan,Tohoku,Pacific coast,species,Engraulis japonicus,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,marine,marine,scientific survey,longitude,centroid,abundance_cpue,abundance,2005,2005,2005,2005,2020,2020,2020,2020,16,15,285,-2.6316704520561855,km/year,NA,no,na,no,yes,pacific decadal oscillation,estimated,en,E2241,Higashiguchi et al. 2025,10.2139/ssrn.5167358,"K Higashiguchi, S Nishijima, Y Kamimura…",Species-Specific Temporal Shifts in Distribution Patterns of Japanese Sardine and Japanese Anchovy in the Western North Pacific in Relation to the Pacific Decadal Oscillation,2025,SSRN,Fig. 4,the shift change was estimated from fig. 4 using webplotdigitzer (https://automeris.io/wpd/?v=5_2),42,na,"changed ""number of censuses"" column from 632 to 285 as the study presented the effort per species.",Sueyoshi
1,entire_japan,Japan,Korea Strait,species,Seriola quinqueradiata,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Seriola,marine,marine,fishery statistics,latitude,centroid,abundance,abundance,1984,1984,1984,1984,2010,2010,2010,2010,26,26,312,0.8827389172119331,km/year,NA,yes,no,no,no,no,estimated,en,E0009,Jung et al. 2014,10.1007/s11160-013-9310-1,"Jung, S; Pang, IC; Lee, JH; Choi, I; Cha, HK",Latitudinal shifts in the distribution of exploited fishes in korean waters during the last 30 years: a consequence of climate change,2014,Reviews in Fish Biology and Fisheries,Fig. 4,"while the study focuses on the korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of japan. range shift was estimated by extracting data from the plots. the measurement of fish data was biomass. the latitude represents biomass-weighted monthly mean latitudes.",NA,na,"edited ""position"" column from unknown to centroid. unknown was originally assigned because the study did not explicitly mention the range position being considered. but after comparing the study area with the distribution map based on occurrence records, centroid was assigned for range position because the study area was close to the center of the latitudinal distribution. the comparison work is saved in e0009.distribution_20260626tscheck.pptx.",Sakiyama
1,entire_japan,Japan,Korea Strait,species,Trachurus japonicus,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Trachurus,marine,marine,fishery statistics,latitude,centroid,abundance,abundance,1987,1987,1987,1987,2010,2010,2010,2010,23,23,276,-0.6516693103145638,km/year,NA,yes,yes,no,no,no,estimated,en,E0009,Jung et al. 2014,10.1007/s11160-013-9310-1,"Jung, S; Pang, IC; Lee, JH; Choi, I; Cha, HK",Latitudinal shifts in the distribution of exploited fishes in korean waters during the last 30 years: a consequence of climate change,2014,Reviews in Fish Biology and Fisheries,Fig. 4,"while the study focuses on the korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of japan. range shift was estimated by extracting data from the plots. the measurement of fish data was biomass. the latitude represents biomass-weighted monthly mean latitudes.",NA,na,"edited ""position"" column from unknown to centroid. unknown was originally assigned because the study did not explicitly mention the range position being considered. but after comparing the study area with the distribution map based on occurrence records, centroid was assigned for range position because the study area was close to the center of the latitudinal distribution. the comparison work is saved in e0009.distribution_20260626tscheck.pptx.",Sakiyama
1,entire_japan,Japan,Korea Strait,species,Sardinops sagax,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Sardinops,marine,marine,fishery statistics,latitude,centroid,abundance,abundance,1984,1984,1984,1984,2010,2010,2010,2010,26,26,312,-3.5795767416576787,km/year,NA,yes,yes,no,no,no,estimated,en,E0009,Jung et al. 2014,10.1007/s11160-013-9310-1,"Jung, S; Pang, IC; Lee, JH; Choi, I; Cha, HK",Latitudinal shifts in the distribution of exploited fishes in korean waters during the last 30 years: a consequence of climate change,2014,Reviews in Fish Biology and Fisheries,Fig. 4,"while the study focuses on the korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of japan. range shift was estimated by extracting data from the plots. the measurement of fish data was biomass. the latitude represents biomass-weighted monthly mean latitudes.",NA,na,"edited ""position"" column from unknown to centroid. unknown was originally assigned because the study did not explicitly mention the range position being considered. but after comparing the study area with the distribution map based on occurrence records, centroid was assigned for range position because the study area was close to the center of the latitudinal distribution. the comparison work is saved in e0009.distribution_20260626tscheck.pptx.",Sakiyama
1,entire_japan,Japan,Korea Strait,species,Clupea pallasii,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,marine,marine,fishery statistics,latitude,centroid,abundance,abundance,1999,1999,1999,1999,2010,2010,2010,2010,11,11,132,-7.031191002144511,km/year,NA,yes,yes,no,no,no,estimated,en,E0009,Jung et al. 2014,10.1007/s11160-013-9310-1,"Jung, S; Pang, IC; Lee, JH; Choi, I; Cha, HK",Latitudinal shifts in the distribution of exploited fishes in korean waters during the last 30 years: a consequence of climate change,2014,Reviews in Fish Biology and Fisheries,Fig. 4,"while the study focuses on the korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of japan. range shift was estimated by extracting data from the plots. the measurement of fish data was biomass. the latitude represents biomass-weighted monthly mean latitudes.",NA,na,"edited ""position"" column from unknown to centroid. unknown was originally assigned because the study did not explicitly mention the range position being considered. but after comparing the study area with the distribution map based on occurrence records, centroid was assigned for range position because the study area was close to the center of the latitudinal distribution. the comparison work is saved in e0009.distribution_20260626tscheck.pptx.",Sakiyama
